10,Locus,https://locus.sh,Bengaluru,2015,Logistics & Supply Chain,Logistics Optimization AI,"Nishith Rastogi, Geet Garg",AI-driven dispatch and route optimization platform for last-mile delivery and supply chains.,"Logistics, Retail, FMCG, Pharma — route optimisation, dynamic dispatch, delivery scheduling",Contact Sales,Custom SaaS pricing based on order volume,❌ No,4.6,88,4.5,55,4.5,143,"Logistics Companies, E-commerce",Cloud / API,Route optimization; Dynamic dispatch; Delivery tracking; Fleet management; Returns management,$78M+,Ready
11,Uniphore,https://www.uniphore.com,Chennai,2008,Customer Experience,Voice AI / Conversational AI,"Umesh Sachdev, Ravi Saraogi",Conversational AI platform combining voice recognition and emotion detection for enterprise CX.,"BFSI, Insurance, Telecom, Healthcare — contact centre automation, agent coaching, call compliance",Contact Sales,Enterprise custom; modular pricing,❌ No,4.3,65,4.2,42,4.2,107,"Contact Centres, Enterprises",Cloud / On-Premise / Hybrid,Voice AI; Emotion detection; Real-time agent assist; Call compliance; Conversation intelligence,$610M+,Ready
12,Kore.ai,https://kore.ai,Hyderabad,2014,Enterprise Software,Conversational AI Platform,Raj Koneru,Enterprise-grade conversational AI platform for building intelligent virtual assistants.,"BFSI, Healthcare, Retail, HR, IT — virtual assistants, employee self-service, IT helpdesk",Freemium / Contact Sales,Free tier available; Enterprise custom pricing,✅ Yes,4.5,320,4.4,180,4.5,500,"Enterprise IT, BFSI, Healthcare",Cloud / On-Premise,No-code bot builder; Multi-LLM support; Omnichannel; AI agent platform; 100+ pre-built integrations,$73.5M+,Ready
13,Observe.AI,https://www.observe.ai,Bengaluru,2017,Customer Experience,Contact Center AI,"Swapnil Jain, Akash Singh, Sharath Keshava Narayana, Vikas Reddy",Conversational intelligence platform transforming contact centers with real-time AI guidance.,"BFSI, Insurance, Telecom, Healthcare — real-time agent guidance, QA automation, compliance",Contact Sales,Custom enterprise pricing,❌ No,4.6,155,4.5,90,4.5,245,"Contact Centre Leaders, QA Teams",Cloud,Real-time agent guidance; Auto-QA; AI coaching; Compliance monitoring; Conversation analytics,$213M+,Ready
14,Entropik,https://entropik.io,Bengaluru,2016,Market Research,Human Insights AI,Ranjan Kumar,AI platform decoding human emotions and behavior for consumer and user research.,"FMCG, Advertising, Retail, Automotive, Pharma — emotion AI, ad testing, UX research",Contact Sales,Custom research project pricing,❌ No,4.3,28,4.2,15,4.2,43,"Market Research, Brand Teams",Cloud / SaaS,Emotion AI; Facial coding; Eye-tracking; Biometric analysis; Ad testing platform,$25M+,Ready
15,SigTuple,https://sigtuple.com,Bengaluru,2015,Healthcare Technology,Medical Diagnostics AI,"Rohit Kumar Pandey, Tathagato Rai Dastidar, Apurv Anand",AI-powered smart microscopy for automated blood and urine sample analysis in labs.,"Healthcare, Diagnostics, Pathology Labs — automated haematology, urinalysis",Contact Sales,Per-test or device lease model,❌ No,4.2,22,4,11,4.1,33,"Hospitals, Diagnostic Labs",On-Premise / Cloud,Smart microscopy; Automated CBC analysis; Urine analysis; AI pathology; Lab workflow automation,$19M+,Ready
16,Arya.ai,https://arya.ai,Mumbai,2015,Financial Services,FinTech AI,Deekshith Marla,Regulatory-compliant AI platform helping banks and insurers deploy deep learning at scale.,"BFSI, Insurance, Lending, Wealth Management — credit risk, fraud detection, KYC automation",Contact Sales,Custom enterprise licensing,❌ No,4.3,35,4.2,18,4.2,53,"Banks, NBFCs, Insurers",Cloud / On-Premise,Credit risk scoring; Fraud detection AI; KYC automation; Regulatory-compliant ML; Model governance,$6M+,Ready

17,Flutura,https://flutura.com,Bengaluru,2012,Industrial IoT,AI for Industry 4.0,"Krishnan Raman, Derick Jose",IoT and AI analytics platform delivering operational insights for energy and engineering sectors.,"Oil & Gas, Manufacturing, Energy, Engineering — predictive maintenance, downtime reduction",Contact Sales,Custom industrial licensing,❌ No,4.2,18,4.1,10,4.2,28,"Industrial Enterprises, OEMs",Cloud / On-Premise,IoT sensor analytics; Predictive maintenance; Asset performance; Industrial AI; Real-time monitoring,$10M+,Ready
18,Manthan,https://www.manthan.com,Bengaluru,2003,Retail Analytics,Retail AI Platform,Atul Jalan,AI-powered analytics platform for retail brands delivering prescriptive customer insights.,"Retail, FMCG, Fashion, Grocery — demand forecasting, assortment planning, promotion optimisation",Contact Sales,Custom enterprise SaaS,❌ No,4.3,40,4.2,22,4.2,62,Retail & CPG Enterprises,Cloud,Demand forecasting; Assortment optimization; Promotion AI; Customer analytics; Inventory management,$25M+,Ready
19,CropIn,https://www.cropin.com,Bengaluru,2010,Agriculture Technology,AgriTech AI,Krishna Kumar,AI-powered agri-intelligence platform connecting farmers and financial institutions.,"Agriculture, Insurance, FMCG, Financial Services — crop monitoring, yield prediction, farm digitization",Contact Sales,Custom enterprise / per-acre pricing,❌ No,4.4,32,4.3,18,4.3,50,"Agri Enterprises, Banks, NGOs",Cloud / Mobile,Satellite crop monitoring; Yield prediction; Farm digitization; Agri insurance underwriting; Weather analytics,$22M+,Ready
20,LogiNext,https://www.loginext.com,Mumbai,2014,Logistics Technology,Field Force & Delivery AI,"Dhruvil Sanghvi, Manisha Raisinghani",AI-powered delivery automation and field force management for last-mile logistics.,"Logistics, E-Commerce, FMCG, Retail — route planning, delivery tracking, ETA predictions",Contact Sales,Custom SaaS by order volume,❌ No,4.5,95,4.4,68,4.5,163,"Logistics Companies, Retailers",Cloud / Mobile,Real-time delivery tracking; Route optimization; Driver management; Proof of delivery; Analytics dashboard,$43M+,Ready
21,Spyne,https://www.spyne.ai,Gurugram,2019,Automotive AI,Computer Vision / GenAI,"Yogesh Bhatt, Sonal Kant",AI-powered automotive visual intelligence platform for dealers and marketplaces.,"Automotive, E-Commerce, Insurance — vehicle photography, background replacement, damage detection",Freemium / Contact Sales,Free trial; paid from ~$99/month,✅ Yes,4.6,55,4.5,32,4.5,87,"Auto Dealers, Marketplaces",Cloud / API,AI car photography; Background replacement; 360° spin; Damage detection; Listing automation,$12M+,Ready
22,LimeChat,https://limechat.ai,Bengaluru,2020,E-Commerce AI,Conversational Commerce,"Aniket Bajpai, Nikhil Gupta","Level-3 AI chatbot for e-commerce brands on WhatsApp, Instagram, and web.","E-Commerce, D2C Brands, Retail — conversational sales, abandoned cart recovery, customer support",Contact Sales,Custom D2C pricing,✅ Yes,4.5,28,4.4,16,4.5,44,"D2C Brands, E-Commerce Companies",Cloud,WhatsApp commerce; AI sales assistant; Abandoned cart recovery; Post-purchase automation; CRM integration,$2M+,Ready
23,Gnani.ai,https://gnani.ai,Bengaluru,2017,Customer Experience,Voice AI / ASR,"Ganesh Gopalan, Ananth Nagaraj",Enterprise voice AI platform with multilingual ASR for customer engagement and compliance.,"BFSI, Telecom, Healthcare, Government — voice bots, call centre AI, speech analytics",Contact Sales,Custom enterprise pricing,❌ No,4.3,22,4.2,12,4.2,34,"Contact Centres, BFSI, Telecom",Cloud / On-Premise,Multilingual ASR (40+ languages); Voice bots; Speech analytics; Call compliance; Real-time transcription,$9M+,Ready
24,Scribble Data,https://www.scribbledata.io,Bengaluru,2019,Enterprise AI,ML Feature Engineering,Srivatsan Srinivasan,Feature engineering and ML platform helping enterprises accelerate ML deployment.,"BFSI, Retail, Telecom, Healthcare — ML feature stores, model monitoring, data pipelines",Contact Sales,Custom enterprise pricing,❌ No,4.1,10,4,6,4,16,"Data Science Teams, MLOps",Cloud / Hybrid,Feature store; ML pipeline automation; Data versioning; Model monitoring; Collaborative ML workspace,$3M+,Ready

25,Expertia AI,https://www.expertia.ai,Bengaluru,2020,HR Technology,Talent Intelligence AI,Ankit Srivastava,AI-powered talent intelligence platform for recruitment and workforce planning.,"HR, Staffing, Enterprise Recruitment — candidate matching, JD optimization, skill mapping",Contact Sales,Custom HR platform pricing,✅ Yes,4.4,20,4.3,12,4.3,32,"HR Teams, Recruiters, Staffing",Cloud,AI job matching; JD optimization; Skill taxonomy; Candidate ranking; Interview intelligence,$5M+,Ready
26,Skit.ai,https://skit.ai,Bengaluru,2016,Customer Experience,Voice AI / Vernacular,"Sourabh Gupta, Sandeep Kumar Panda",Vernacular voice AI platform automating contact centre conversations in Indian languages.,"BFSI, Insurance, Telecom, Collections — automated voice calls, IVR deflection, multilingual voice agents",Contact Sales,Custom enterprise / per-minute pricing,❌ No,4.4,18,4.3,10,4.3,28,"Contact Centres, BFSI, Telecom",Cloud,Voice AI agents; Multilingual (10+ Indian languages); IVR automation; Collections AI; Real-time coaching,$27M+,Ready
27,Avaamo,https://avaamo.ai,Bengaluru,2014,Enterprise AI,Conversational AI Platform,"Ram Menon, Sriram Chakravarthy",Enterprise conversational AI platform for employee and customer-facing applications.,"Healthcare, BFSI, HR, IT, Retail — HR chatbots, employee self-service, customer support",Contact Sales,Custom enterprise pricing,❌ No,4.4,35,4.3,20,4.3,55,"Enterprise IT, HR, Customer Service",Cloud / On-Premise,Pre-built AI agents; Omnichannel deployment; 100+ language support; Deep ERP integrations; Analytics,$37M+,Ready
28,Shipsy,https://shipsy.io,Gurugram,2016,Logistics Technology,Supply Chain AI,"Soham Chokshi, Dhruv Agarwal",AI-powered smart logistics management platform for global supply chain orchestration.,"Logistics, E-Commerce, Retail, Manufacturing — freight, dispatch, fleet, cross-border logistics",Contact Sales,Custom enterprise SaaS,❌ No,4.5,42,4.4,28,4.5,70,"Logistics, 3PLs, E-Commerce",Cloud,AI freight management; Route optimization; Driver allocation; Real-time tracking; Cross-border logistics,$22M+,Ready
29,Intello Labs,https://intellolabs.com,Gurugram,2016,Agriculture Technology,Food Quality AI,"Milan Sharma, Himanshu Bhatnagar",AI-based food and agri commodity quality inspection platform using computer vision.,"Agriculture, Food Processing, Retail, Warehousing — grain quality, fruit grading, compliance testing",Contact Sales,Custom per-inspection or enterprise pricing,❌ No,4.3,14,4.2,8,4.2,22,"Food Companies, Agri Traders, Exporters",Cloud / On-Premise,Visual quality inspection; Grain grading AI; Defect detection; Supply chain compliance; Lab integration,$8M+,Ready
30,Uncanny Vision,https://uncannyvision.com,Bengaluru,2013,Computer Vision,Edge AI / Security AI,Ranjith Parakkal,Edge AI company delivering intelligent video analytics for surveillance and retail.,"Security, Retail, Smart Cities, Manufacturing — video surveillance, crowd analytics, intrusion detection",Contact Sales,Custom licensing per camera/site,❌ No,4.1,8,4,5,4,13,"Security Teams, Smart Cities, Retailers",On-Premise / Edge,Edge AI video analytics; Facial recognition; Crowd density analysis; Intrusion detection; Retail analytics,$4M+,Ready
31,QpiAI,https://qpiai.tech,Bengaluru,2019,Quantum Computing,Quantum AI,Nagendra Nagaraja,Quantum computing and AI platform offering hybrid quantum-classical algorithms.,"BFSI, Pharma, Defence, Logistics — quantum optimization, drug discovery, cryptography",Contact Sales,Custom research/enterprise licensing,❌ No,4,5,3.9,3,4,8,"Research Institutions, Enterprises",Cloud / On-Premise,Quantum circuit simulator; Hybrid quantum-classical AI; Optimization algorithms; Quantum ML; Post-quantum security,$5M+,Ready
32,Innefu Labs,https://www.innefu.com,New Delhi,2010,Cybersecurity AI,Threat Intelligence AI,"Tarun Wig, Abhishek Sharma",AI-powered cybersecurity and threat intelligence platform for government and enterprise.,"Government, Defence, BFSI, Law Enforcement — threat intelligence, predictive policing",Contact Sales,Custom government/enterprise licensing,❌ No,4.2,12,4.1,7,4.2,19,"Government, Defence, BFSI",On-Premise / Cloud,Dark web monitoring; Threat intelligence; Predictive analytics; Biometric AI; Social media intelligence,$10M+,Ready

33,Predis.ai,https://predis.ai,Bengaluru,2020,Marketing Technology,AI Content Creation,"Tanmay Ratnaparkhe, Aakash Kerawat, Akshay Karangale",AI-powered social media content creation and scheduling platform for marketers.,"Marketing, E-Commerce, Agencies, SMBs — social media posts, ad creatives, video generation, scheduling",Freemium,Free plan; Lite $19/mo; Premium $59/mo; Enterprise $249/mo,✅ Yes,4.8,81,4.7,184,4.8,265,"Marketers, Agencies, SMBs",Cloud / SaaS,AI social content creation; Video generation; Competitor analysis; Multi-platform scheduling; Brand kit,$1M+ (Seed),Ready
34,Staqu Technologies,https://www.staqu.com,Gurugram,2015,Computer Vision,Video Analytics AI,Atul Rai,AI video surveillance and analytics platform for law enforcement and enterprise security.,"Government, Law Enforcement, Retail, Manufacturing — video analytics, facial recognition, crime detection",Contact Sales,Custom government/enterprise licensing,❌ No,4.1,10,4,6,4,16,"Law Enforcement, Govt, Enterprise Security",On-Premise / Cloud,Real-time video analytics; Facial recognition; ANPR; Crowd management; Criminal tracking integration,$7M+,Ready
35,Leena AI,https://leena.ai,Bengaluru,2018,HR Technology,Employee Experience AI,"Adit Jain, Anand Prajapati","Autonomous HR agent automating employee queries, onboarding, and HR operations.","HR, Employee Experience, IT — HR helpdesk, onboarding automation, policy queries, payroll support",Contact Sales,Custom per-employee-per-month pricing,✅ Yes,4.5,75,4.4,48,4.5,123,"HR Leaders, CHROs, People Ops",Cloud,Autonomous HR agent; Onboarding automation; Policy query bot; Multi-system HRIS integration; Analytics,$30M+,Ready
36,Rephrase.ai,https://www.rephrase.ai,Bengaluru,2019,Marketing AI,AI Video Generation,"Ashray Malhotra, Nisheeth Lahoti, Shivam Mangla",AI video generation platform creating personalized talking-head videos at scale.,"Marketing, Sales, HR, Education — personalized video campaigns, spokesperson videos, training videos",Contact Sales,Custom enterprise pricing; starts ~$25/mo for basic,✅ Yes,4.4,38,4.3,22,4.3,60,"Marketing Teams, Sales Reps, Enterprise",Cloud,Digital human video generation; Text-to-video; Personalized video at scale; Brand spokesperson AI; API access,$4.7M+,Ready
37,Pixis,https://pixis.ai,Bengaluru,2018,Marketing Technology,AI Marketing Platform,"Shubham A. Mishra, Vrushank Vyas, Hari Valiyath","Codeless AI infrastructure for performance marketing, targeting, and creative optimization.","E-Commerce, D2C, Retail, Gaming — audience targeting, creative AI, bid optimization",Contact Sales,Custom enterprise pricing,❌ No,4.5,48,4.4,28,4.5,76,"Performance Marketers, Growth Teams",Cloud,AI audience targeting; Creative intelligence; Bid optimization; Cross-channel attribution; Automated A/B testing,$100M+,Ready
38,Niramai Health Analytix,https://www.niramai.com,Bengaluru,2016,Healthcare Technology,Medical AI / Imaging,Geetha Manjunath,"AI-based, radiation-free breast cancer screening using thermal imaging and ML.","Healthcare, Oncology, Women's Health — early breast cancer detection, rural screening",Contact Sales,Per-scan or device partnership model,❌ No,4.3,14,4.2,8,4.2,22,"Hospitals, Diagnostic Centres, NGOs",On-Premise / Cloud,Thermal image analysis; Radiation-free screening; AI diagnostics; Privacy-preserving; Rural deployment,$6M+,Ready
39,Mihup.ai,https://mihup.com,Kolkata,2016,Customer Experience,Voice AI / Speech Analytics,"Biplab Chakraborty, Arihant Jain",Voice intelligence platform for contact centres with real-time agent assistance and analytics.,"BFSI, Insurance, Telecom — speech analytics, call quality monitoring, agent assistance",Contact Sales,Custom contact centre pricing,❌ No,4.2,15,4.1,9,4.2,24,"Contact Centres, QA Teams",Cloud,Real-time speech analytics; Agent assist; Auto-QA; Emotion detection; Call transcription & compliance,$5M+,Ready
40,Pepper Content,https://www.peppercontent.io,Mumbai,2017,Marketing Technology,AI Content Platform,"Rishabh Shekhar, Anirudh Singla",AI-powered content marketing platform connecting brands with creators and AI writing tools.,"Marketing, E-Commerce, EdTech, BFSI — content creation, SEO content, blog articles, content at scale",Freemium / Contact Sales,Free trial; Paid from ~$399/month for enterprises,✅ Yes,4.3,110,4.2,65,4.2,175,"Content Marketers, Enterprises",Cloud / SaaS,AI content generation; Content marketplace; SEO optimization; Multilingual content; Creator network,$14.3M+,Ready

41,Bobble AI,https://bobble.ai,Gurugram,2012,Consumer AI,Personalized Keyboard AI,Ankit Prasad,AI-powered keyboard app delivering contextual content suggestions and personalized communication.,"Consumer Tech, Media, Advertising — keyboard AI, stickers, GIFs, personalized content",Freemium / B2B,Free consumer app; Brand partnership pricing,✅ Yes,4.2,85,4.1,40,4.2,125,"Mobile Users, Brands, Advertisers",Mobile / Cloud,Contextual keyboard AI; Personalized GIF/sticker suggestions; Brand integration; Vernacular support; Ad tech,$13M+,Ready
42,Exotel,https://exotel.com,Bengaluru,2011,Cloud Communications,Telephony / Contact Centre AI,"Shivakumar Ganesan, Ishwar Sridharan",Cloud communication platform with AI-powered contact centre and CPaaS capabilities.,"E-Commerce, BFSI, Healthcare, Logistics — cloud telephony, IVR, virtual numbers, contact centre",Freemium / Paid,Starter plans; Enterprise custom; Pay-per-minute available,✅ Yes,4.4,185,4.3,110,4.3,295,"SMBs, Enterprises, Contact Centres",Cloud,Cloud telephony; Virtual numbers; IVR builder; AI contact centre; SMS/WhatsApp/voice API,$65M+,Ready
43,MoEngage,https://www.moengage.com,Bengaluru,2014,Marketing Technology,Customer Engagement AI,"Raviteja Dodda, Yashwanth Kumar","Insights-led customer engagement platform trusted by 1,350+ global brands.","E-Commerce, BFSI, Travel, EdTech — push notifications, email, SMS, in-app campaigns, retention",Freemium / Contact Sales,Free plan (Starter); Growth & Enterprise custom pricing,✅ Yes,4.5,620,4.4,380,4.5,1000,"Product, Marketing Teams, Enterprises",Cloud / SaaS,Omnichannel engagement; Behavioral analytics; AI send-time optimization; Personalization; Journey orchestration,$77.5M+,Ready
44,CleverTap,https://clevertap.com,Mumbai,2013,Marketing Technology,Customer Retention AI,"Sunil Thomas, Anand Jain, Suresh Kondamudi",All-in-one customer engagement and retention platform for mobile-first brands.,"Gaming, E-Commerce, FinTech, Media — retention campaigns, push, in-app, SMS, email, user analytics",Freemium / Paid,Essentials plan (MAU-based); Enterprise custom,✅ Yes,4.6,350,4.5,210,4.5,560,"Mobile App, Product, Growth Teams",Cloud,CleverAI predictive segments; Omnichannel campaigns; A/B testing; Funnel analytics; Real-time segmentation,$226M+,Ready
45,SirionLabs,https://www.sirionlabs.com,Gurugram,2012,Legal Technology,Contract AI,Ajay Agrawal,AI-powered contract lifecycle management platform for enterprise legal and procurement teams.,"Legal, Procurement, Finance, Enterprise — contract creation, obligation tracking, compliance management",Contact Sales,Custom enterprise CLM pricing,❌ No,4.5,80,4.4,52,4.5,132,"Legal, Procurement, Finance Leaders",Cloud,AI contract drafting; Obligation extraction; Risk flagging; Contract analytics; ERP/CRM integration,$44M+,Ready
46,Darwinbox,https://darwinbox.com,Hyderabad,2015,HR Technology,HCM AI,"Rohit Chennamaneni, Chaitanya Peddi, Jayant Paleti",Cloud-native HCM platform with AI capabilities for modern workforce management.,"HR, Enterprises, Conglomerates — recruitment, onboarding, payroll, performance, HRMS",Contact Sales,Custom per-employee-per-month pricing,❌ No,4.4,320,4.3,190,4.3,510,"CHROs, HR Teams, Large Enterprises",Cloud,AI-powered HCM; Recruitment automation; Payroll; Performance AI; Employee experience hub,$72M+,Ready
47,Mu Sigma,https://www.mu-sigma.com,Bengaluru,2004,Enterprise Analytics,Decision Sciences AI,Dhiraj Rajaram,Decision sciences company helping Fortune 500 companies institutionalize data-driven decisions.,"FMCG, Insurance, Healthcare, Retail — analytics consulting, data engineering, decision sciences",Contact Sales,Custom enterprise consulting + SaaS,❌ No,4.2,55,4.1,30,4.2,85,Fortune 500 Data Teams,Cloud / Hybrid,Decision engineering; Advanced analytics; Data science consulting; ML platforms; Business intelligence,$1.5B valuation,Ready
48,JIFFY.ai,https://jiffy.ai,Santa Clara / Bengaluru,2018,Enterprise AI,Intelligent Automation,Lakshmanan Chidambaram,No-code AI platform for automating complex enterprise workflows and business processes.,"BFSI, Insurance, Healthcare, HR — intelligent document processing, workflow automation, RPA+AI",Contact Sales,Custom enterprise licensing,❌ No,4.3,22,4.2,14,4.2,36,"COOs, CIOs, Ops Leaders",Cloud,No-code automation builder; Intelligent document processing; AI + RPA integration; Process mining; Analytics,$18M+,Ready

49,Whatfix,https://whatfix.com,Bengaluru,2014,Enterprise Software,Digital Adoption AI,"Khadim Batti, Vara Kumar",Digital adoption platform with AI helping users navigate enterprise software efficiently.,"IT, HR, Sales, Finance — employee onboarding, software training, in-app guidance",Contact Sales,Custom enterprise pricing,✅ Yes,4.6,340,4.5,205,4.5,545,"L&D Teams, CIOs, Enterprise",Cloud / SaaS,In-app guided walkthroughs; AI task automation; Analytics; Multi-app support; Personalized training flows,$140M+,Ready
50,Mindtickle,https://www.mindtickle.com,San Francisco / Pune,2012,Sales Technology,Sales Readiness AI,"Krishna Depura, Deepak Diwakar",Sales readiness and enablement platform with AI-powered coaching and training.,"Technology, BFSI, Pharma, Manufacturing — sales training, onboarding, coaching, content management",Contact Sales,Custom enterprise pricing (per seat/year),❌ No,4.7,285,4.6,175,4.7,460,"Sales Leaders, L&D, Revenue Ops",Cloud,AI sales coaching; Role-play simulator; Content management; Readiness scoring; CRM integration,$281M+,Ready
51,LeadSquared,https://www.leadsquared.com,Bengaluru,2011,Sales Technology,CRM / Marketing Automation,"Nilesh Patel, Prashant Singh","Sales automation CRM platform helping 2,000+ organizations drive sales efficiency at scale.","Education, BFSI, Healthcare, Real Estate — lead management, sales automation, marketing CRM",Paid,Lite $25/user/month; Pro $50/user/month; Super $100/user/month,✅ Yes,4.3,370,4.2,220,4.2,590,"Sales Teams, Marketers, Enterprise",Cloud / Mobile,Lead capture & scoring; Sales pipeline; Marketing automation; Mobile CRM; Field sales management,$153M+,Ready
52,Zoho AI (Zia),https://www.zoho.com/zia/,Chennai,2016,Enterprise Software,AI-Powered CRM,Sridhar Vembu,Zia is Zoho's AI assistant embedded across the Zoho platform for sales intelligence.,"SMB, Mid-Market, Enterprise — CRM insights, anomaly detection, lead scoring, predictive analytics",Freemium / Paid,Free for Zoho CRM Free; Paid from $14/user/month,✅ Yes,4.3,6200,4.4,3800,4.3,10000,"SMBs, Mid-Market, Enterprise",Cloud / SaaS,AI sales assistant (Zia); Anomaly detection; Lead scoring; Deal predictions; Sentiment analysis,Bootstrapped / $Billion+ valuation,Ready
53,Freshworks (Freddy AI),https://www.freshworks.com,Chennai / San Mateo,2010,Enterprise Software,AI CX & IT Platform,Girish Mathrubootham,"Freddy AI is Freshworks' AI suite powering customer support, IT, and sales automation.","SMB, Enterprise, E-Commerce, SaaS — customer support, IT helpdesk, sales automation, ITSM",Freemium / Paid,Free tier; Pro from ~$29/agent/month; Enterprise from $69/agent/month,✅ Yes,4.4,5200,4.5,3200,4.5,8400,"Support Leaders, IT Teams, Sales Teams",Cloud / SaaS,Freddy AI Agent (autonomous); Freddy Copilot; AI ticket routing; Knowledge base AI; Predictive CSAT,NASDAQ: FRSH; ~$600M ARR,Ready
54,CloudSEK,https://cloudsek.com,Bengaluru,2015,Cybersecurity AI,Threat Intelligence,Rahul Sasi,AI-powered digital risk protection platform monitoring cyber threats across the internet.,"BFSI, Telecom, Government, Healthcare — dark web monitoring, brand protection, vulnerability intelligence",Contact Sales,Custom enterprise licensing,❌ No,4.4,28,4.3,16,4.3,44,"CISOs, Security Analysts, SOC Teams",Cloud / SaaS,Dark web monitoring; Brand threat intelligence; Data leak detection; Attack surface monitoring; API security,$19M+,Ready
